NUMBER;NAME;SYMBOL;WEIGHT;BP;IP;RADIUS;MP;DENSITY;EN
20;Calcium;Ca;40.08;1760;6.11;1.74;1112;1550;1.04
6;Carbon;C;12.0115;5100;11.26;0.77;3823;2267;2.5
79;Gold;Au;196.967;3239;9.24;1.34;1337;19300;1.42
1;Hydrogen;H;1.00797;20.4;13.6;0.37;14;0.08375;2.2
82;Lead;Pb;207.19;2017;7.42;1.46;601;11340;1.55
47;Silver;Ag;107.87;2485;7.58;1.34;1235;10490;1.42
30;Zinc;Zn;65.37;1180;9.4;1.25;693;7140;1.66
14;Silicon;Si;28.086;2628;8.15;1.17;1683;2330;1.74
8;Oxygen;O;15.9994;90.2;13.61;0.74;55;1.3318;3.5
7;Nitrogen;N;14.0067;77.3;14.54;0.74;63;1.1649;3.07
